mes,Dato_usuarios,Acum_usuarios,Dato_descargas_app,Acum_descargas_app,Dato_búsquedas,Acum_búsquedas,Dato_recurrencia,Acum_recurrencia,Dato_proyectos,Acum_proyectos,Dato_usuarios_por_proyecto,Acum_usuarios_por_proyecto,Dato_información,Acum_información,Dato_red,Acum_red,Dato_recursos,Acum_recursos,Dato_relaciones,Acum_relaciones,Dato_perfiles_referentes,Acum_perfiles_referentes,Dato_organizaciones,Acum_organizaciones,Dato_personas,Acum_personas,Dato_búsqueda_de_empleo,Acum_búsqueda_de_empleo,Dato_retos,Acum_retos,Dato_actualidad,Acum_actualidad,Dato_ayudas_y_subvenciones,Acum_ayudas_y_subvenciones,Dato_eventos,Acum_eventos,Dato_formación_y_prácticas,Acum_formación_y_prácticas,Dato_orientación_laboral,Acum_orientación_laboral,Dato_ofertas_de_empleo,Acum_ofertas_de_empleo,Dato_conversaciones,Acum_conversaciones,Dato_grupos,Acum_grupos,Dato_conversaciones_privadas,Acum_conversaciones_privadas,Dato_mensajes,Acum_mensajes,Dato_contenido_compartido_en_conversaciones,Acum_contenido_compartido_en_conversaciones,Dato_conversaciones_de_participación,Acum_conversaciones_de_participación,Dato_usuarios_por_conversación,Acum_usuarios_por_conversación,Dato_calidad_media_del_mensaje,Acum_calidad_media_del_mensaje,Dato_canales,Acum_canales,Dato_suscritos_a_canales,Acum_suscritos_a_canales,Dato_contenido_compartido_en_canales,Acum_contenido_compartido_en_canales,Dato_asistentes_a_eventos,Acum_asistentes_a_eventos,Dato_campañas,Acum_campañas,Dato_acciones,Acum_acciones,Dato_visitas,Acum_visitas,Dato_visitas_a_proyectos,Acum_visitas_a_proyectos,Dato_visitas_a_red,Acum_visitas_a_red,Dato_oportunidades,Acum_oportunidades,Dato_actividades,Acum_actividades,Dato_usuarios_por_actividad,Acum_usuarios_por_actividad
Septiembre 2021,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Octubre 2021,2,2,2,2,147,147,1.0,1.0,0,0,0.0,0.0,7,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,1,1,1,1,0,0,1,1,7,7,0,0,1.0,1.0,0.16,0.16,7,7,0,0,6,6,0,0,0,0,0,0,87419,87419,14945,14945,12254,12254,0,0,0,0,0,0
Noviembre 2021,10,12,1,3,6,153,1.0,1.0,4,4,4.0,4.0,34,41,14,14,20,27,7,7,0,0,2,2,12,12,0,0,0,0,11,12,2,2,3,3,0,6,2,2,2,2,8,9,6,7,2,2,56,57,1,8,0,0,3.67,3.67,0.5253,0.5253,0,7,11,11,13,19,0,0,0,0,0,0,2649,90068,375,15320,252,12506,0,0,1,1,1,1
Diciembre 2021,0,12,0,3,3,156,0.5832999999999999,0.5832999999999999,0,4,4.0,4.0,0,41,0,14,0,27,0,7,0,0,0,2,0,12,0,0,0,0,0,12,0,2,0,3,0,6,0,2,0,2,0,9,0,7,0,2,7,64,0,8,0,0,3.89,3.89,0.5252,0.5252,-2,5,-3,8,-1,18,0,0,0,0,0,0,1973,92041,204,15524,166,12672,0,0,0,1,1,1
Enero 2022,1,13,1,4,18,174,0.8462000000000001,0.8462000000000001,1,5,3.6,3.6,5,46,0,14,5,32,0,7,0,0,0,2,0,12,0,0,0,0,1,13,4,6,0,3,0,6,0,2,0,2,0,9,0,7,0,2,23,87,0,8,0,0,4.0,4.0,0.6047,0.6047,0,5,4,12,0,18,0,0,0,0,0,0,8356,100397,809,16333,648,13320,0,0,0,1,2,2
Febrero 2022,0,13,0,4,10,184,0.46149999999999997,0.46149999999999997,0,5,3.6,3.6,0,46,0,14,0,32,0,7,0,0,0,2,0,12,0,0,0,0,0,13,0,6,0,3,0,6,0,2,0,2,0,9,0,7,0,2,17,104,0,8,0,0,4.0,4.0,0.6372,0.6372,0,5,0,12,0,18,0,0,0,0,0,0,2030,102427,120,16453,130,13450,0,0,0,1,2,2
Marzo 2022,-1,12,0,4,11,195,0.6667000000000001,0.6667000000000001,2,7,2.86,2.86,12,58,0,14,12,44,0,7,0,0,0,2,0,12,0,0,0,0,7,20,1,7,2,5,1,7,0,2,1,3,1,10,0,7,1,3,42,146,0,8,0,0,3.8,3.8,0.6929000000000001,0.6929000000000001,0,5,0,12,3,21,0,0,0,0,0,0,3135,105562,175,16628,395,13845,0,0,0,1,2,2
Abril 2022,4,16,0,4,10,205,0.5625,0.5625,1,8,2.63,2.63,6,64,4,18,2,46,0,7,0,0,0,2,4,16,0,0,0,0,0,20,1,8,1,6,0,7,0,2,0,3,1,11,0,7,1,4,-20,126,2,10,0,0,4.18,4.18,0.7948000000000001,0.7948000000000001,0,5,0,12,0,21,0,0,0,0,0,0,1427,106989,37,16665,246,14091,0,0,0,1,2,2
Mayo 2022,1,17,0,4,14,219,0.5294,0.5294,2,10,2.2,2.2,10,74,1,19,9,55,0,7,0,0,0,2,1,17,0,0,0,0,7,27,1,9,1,7,0,7,0,2,0,3,1,12,0,7,1,5,17,143,0,10,0,0,3.92,3.92,0.7825,0.7825,0,5,0,12,9,30,0,0,0,0,0,0,1954,108943,206,16871,165,14256,0,0,0,1,2,2
Junio 2022,23,40,3,7,503,722,0.9,0.9,3,13,2.23,2.23,120,194,21,40,99,154,4,11,0,0,0,2,16,33,5,5,0,0,53,80,16,25,6,13,15,22,8,10,1,4,15,27,1,8,14,19,73,216,6,16,0,0,4.26,4.26,0.7503,0.7503,0,5,5,17,121,151,0,0,0,0,0,0,69636,178579,14633,31504,6813,21069,0,0,0,1,8,8
